algorithm_name,dataset_name,flow/samples,execution_time_fit,execution_time_predict,AUPRIN,AUPROUT,AUROC,indices_drawing,first_above_90,first_above_95,first_above_99
NeuronalNetworkLoss,TrainDay0_TestBotnet,samples,0h 25m 8s,0h 0m 0s,0.9937491630541466,0.0066992571984434025,0.4177089326951018,1007,201,201,201
NeuronalNetworkLoss,TrainDay0_DDos,samples,0h 25m 1s,0h 0m 0s,0.20648532374141135,0.8260401442419211,0.2559764546545476,163,2,3,4
NeuronalNetworkLoss,TrainDay0_Dos,flows,0h 25m 2s,0h 0m 1s,0.27062155103824803,0.8167755709031705,0.14535603578888845,1,3,4,5
NeuronalNetworkLoss,TrainDay0123_TestDay4,flows,1h 42m 29s,0h 0m 3s,0.3743357350015437,0.7769473587435769,0.1310474518696251,55,4,5,8
NeuronalNetworkLoss,TrainDay0_DDos,flows,0h 25m 1s,0h 0m 0s,0.1693717033506496,0.9056910106024232,0.12284155009590304,3,2,3,4
NeuronalNetworkLoss,TrainDay0_Web,flows,0h 25m 10s,0h 0m 0s,0.9542954318494616,0.05429427475927287,0.24324483717558454,386,71,92,141
NeuronalNetworkLoss,TrainDay0_PortScan,flows,0h 25m 7s,0h 0m 0s,0.15081907151490787,0.8941099755997339,0.14845224868736184,24,2,2,4
NeuronalNetworkLoss,TrainDay0_FTPPatator,flows,0h 25m 4s,0h 0m 0s,0.9536770973353678,0.05850943990549363,0.24514005907813688,5226,65,84,129
NeuronalNetworkLoss,TrainDay0_Heartbleed,flows,0h 25m 4s,0h 0m 0s,0.9996503590787283,0.00010309278350515464,0.1377684354050676,29,201,201,201
NeuronalNetworkLoss,TrainDay01_TestDay234,flows,0h 47m 53s,0h 0m 10s,0.46829208298384634,0.7322273982771363,0.14044509003805689,2,6,7,11
NeuronalNetworkLoss,TrainDay0_SSHPatator,flows,0h 25m 6s,0h 0m 0s,0.9645652473900879,0.043154281049052605,0.2792598588212325,2826,81,105,162
NeuronalNetworkLoss,TrainDay012_TestDay34,flows,1h 19m 6s,0h 0m 5s,0.45522222433079684,0.8110703196293805,0.06916892216047273,1,6,7,11
NeuronalNetworkLoss,TrainDay0_Infiltration,flows,0h 25m 9s,0h 0m 1s,0.48675700818517253,0.5578601945011883,0.2536453031242567,1,5,6,9
NeuronalNetworkLoss,TrainDay0_TestBotnet,flows,0h 25m 8s,0h 0m 0s,0.9856838172287012,0.01716074195861049,0.24568772103477787,4,201,201,201
NeuronalNetworkLoss,TrainDay0_TestDay1234,flows,0h 24m 44s,0h 0m 12s,0.5452827181040332,0.6321740145970846,0.17446503585919848,1,7,9,14
IsolationForest,TrainDay0123_TestDay4,samples,0h 4m 59s,0h 1m 26s,0.4317489635415959,0.9343756605637075,0.021675718769123338,3,5,6,9
IsolationForest,TrainDay0_Heartbleed,samples,0h 1m 11s,0h 0m 0s,0.8932983433084513,0.964475452581657,0.0014408899353929524,1,55,72,110
IsolationForest,TrainDay0_TestBotnet,samples,0h 1m 11s,0h 0m 2s,0.979419025673767,0.09061862222514916,0.18586660707098374,1,201,201,201
IsolationForest,TrainDay0_DDos,samples,0h 1m 11s,0h 0m 3s,0.14570152071418802,0.9734847324577056,0.05153730093176903,1,2,3,4
IsolationForest,TrainDay0_PortScan,samples,0h 1m 11s,0h 0m 2s,0.24653814570015928,0.9759423578763251,0.010724659767991064,7,3,3,5
IsolationForest,TrainDay0_FTPPatator,samples,0h 1m 11s,0h 0m 3s,0.968856952018848,0.0397183172269268,0.6532178624441414,3093,40,52,80
IsolationForest,TrainDay0_SSHPatator,samples,0h 1m 11s,0h 0m 2s,0.9756337389487626,0.04959617535148259,0.797569095617881,1986,27,35,54
IsolationForest,TrainDay012_TestDay34,samples,0h 3m 44s,0h 1m 38s,0.5494754445886548,0.9279192780076158,0.016018594508618252,16,7,9,14
IsolationForest,TrainDay0_TestDay1234,samples,0h 1m 14s,0h 0m 53s,0.6025406791843394,0.88058903522113,0.05630504718686352,27,9,11,17
IsolationForest,TrainDay0_Dos,samples,0h 1m 12s,0h 0m 6s,0.3358745310419402,0.9608916473334893,0.03860616649564932,1,4,5,7
IsolationForest,TrainDay01_TestDay234,samples,0h 2m 24s,0h 1m 37s,0.5443784200709778,0.9168302751005358,0.026409441947115597,11,7,9,13
IsolationForest,TrainDay0_Infiltration,samples,0h 1m 11s,0h 0m 3s,0.564468808182968,0.8839746726220048,0.025065414599462855,1,8,10,15
IsolationForest,TrainDay0_Web,samples,0h 1m 11s,0h 0m 1s,0.9231009849582352,0.09467436938658719,0.24970237211676524,71,48,63,96
IsolationForest,TrainDay0_TestDay1234,flows,0h 1m 14s,0h 0m 53s,0.5018604307436375,0.9463598468352438,0.02076864587728844,28,6,8,11
IsolationForest,TrainDay0_Dos,flows,0h 1m 12s,0h 0m 6s,0.2436009195060202,0.9878889746398851,0.022355514923937565,1,3,3,5
IsolationForest,TrainDay0_FTPPatator,flows,0h 1m 11s,0h 0m 3s,0.97761126210084,0.02743695763173831,0.5406370062921526,953,70,91,139
IsolationForest,TrainDay012_TestDay34,flows,0h 3m 44s,0h 1m 38s,0.4445335801564823,0.953568415079498,0.010318236843023276,8,5,6,9
IsolationForest,TrainDay0123_TestDay4,flows,0h 4m 59s,0h 1m 26s,0.3466914887529488,0.9489258234650279,0.023571995232302093,2,4,5,7
IsolationForest,TrainDay01_TestDay234,flows,0h 2m 24s,0h 1m 37s,0.4384275961969298,0.9550719597542713,0.01667697447134662,7,5,6,9
IsolationForest,TrainDay0_Infiltration,flows,0h 1m 11s,0h 0m 3s,0.39370551832662504,0.9162042285724743,0.021685122647996338,1,4,5,8
IsolationForest,TrainDay0_DDos,flows,0h 1m 11s,0h 0m 3s,0.15651688620932422,0.9791131112886774,0.01887156392383276,2,2,3,4
IsolationForest,TrainDay0_Heartbleed,flows,0h 1m 11s,0h 0m 0s,0.9996503588259273,0.00010309278350515464,0.1377684354050676,2,201,201,201
IsolationForest,TrainDay0_Web,flows,0h 1m 11s,0h 0m 1s,0.9245729621104274,0.1544152836684257,0.08386575111303926,12,71,92,142
IsolationForest,TrainDay0_PortScan,flows,0h 1m 11s,0h 0m 2s,0.1265989228147082,0.9835588896837648,0.01342704394414315,2,2,2,3
IsolationForest,TrainDay0_SSHPatator,flows,0h 1m 11s,0h 0m 2s,0.9901887964844632,0.016474960718679682,0.7488052195751745,284,86,112,172
IsolationForest,TrainDay0_TestBotnet,flows,0h 1m 11s,0h 0m 2s,0.9704837862894888,0.13429217259684414,0.16042682167554573,1,201,201,201
OneClassForestwoBootstrap,TrainDay0_DDos,samples,0h 0m 6s,0h 0m 0s,0.17446084549915292,0.7524324728998917,0.18664998280443398,130,1,2,2
OneClassForestwoBootstrap,TrainDay0_TestDay1234,samples,0h 0m 6s,0h 0m 1s,0.5884279936742418,0.5659586961070009,0.16067691751620547,389,3,4,6
OneClassForestwoBootstrap,TrainDay0_Heartbleed,samples,0h 0m 6s,0h 0m 0s,0.9854990230196411,0.014655441222326161,0.5000247102720601,771,201,201,201
OneClassForestwoBootstrap,TrainDay0_Dos,samples,0h 0m 6s,0h 0m 0s,0.42445252713927206,0.601145321234122,0.38755411802653705,38,3,4,6
OneClassForestwoBootstrap,TrainDay0_Web,samples,0h 0m 6s,0h 0m 0s,0.9538766307341172,0.04643221500151798,0.4475876231937432,647,47,61,93
OneClassForestwoBootstrap,TrainDay0_FTPPatator,samples,0h 0m 6s,0h 0m 0s,0.8749747170128439,0.18262231660023226,0.3949737923165377,510,7,9,13
OneClassForestwoBootstrap,TrainDay01_TestDay234,samples,0h 0m 14s,0h 0m 2s,0.4870991196513118,0.6912162338180925,0.1621394073017057,108,2,3,4
OneClassForestwoBootstrap,TrainDay0_Infiltration,samples,0h 0m 6s,0h 0m 0s,0.5032234962590507,0.6571011143668494,0.0751362147431442,2,3,4,5
OneClassForestwoBootstrap,TrainDay0_SSHPatator,samples,0h 0m 6s,0h 0m 0s,0.9574139882782275,0.042578037192680336,0.5000041645843745,47,27,35,53
OneClassForestwoBootstrap,TrainDay0_PortScan,samples,0h 0m 6s,0h 0m 0s,0.2268331841706996,0.9466408682547959,0.04161465651239387,1,1,2,2
OneClassForestwoBootstrap,TrainDay0123_TestDay4,samples,0h 0m 28s,0h 0m 1s,0.33846242879456406,0.7306387486785488,0.39488716846870936,1,1,1,2
OneClassForestwoBootstrap,TrainDay0_TestBotnet,samples,0h 0m 6s,0h 0m 0s,0.9924758689499984,0.007526735874857163,0.4784625372752512,131,201,201,201
OneClassForestwoBootstrap,TrainDay012_TestDay34,samples,0h 0m 27s,0h 0m 1s,0.6602005939123307,0.4846069184106683,0.43517802164194064,84,2,2,3
OneClassForestwoBootstrap,TrainDay0_FTPPatator,flows,0h 0m 6s,0h 0m 0s,0.8754200896399111,0.18040454215048138,0.06759872222355973,953,9,12,18
OneClassForestwoBootstrap,TrainDay0_DDos,flows,0h 0m 6s,0h 0m 0s,0.16259101182479085,0.8614746160100357,0.10717622038394134,26,1,2,2
OneClassForestwoBootstrap,TrainDay0_SSHPatator,flows,0h 0m 6s,0h 0m 0s,0.9863856396624936,0.013605132638667698,0.5000046774872539,33,35,46,70
OneClassForestwoBootstrap,TrainDay0_Infiltration,flows,0h 0m 6s,0h 0m 0s,0.36494575561884873,0.7840199756174023,0.07586842519916093,2,2,2,4
OneClassForestwoBootstrap,TrainDay0_TestDay1234,flows,0h 0m 6s,0h 0m 1s,0.48075751548314427,0.720298414031955,0.1119947726612737,257,2,3,4
OneClassForestwoBootstrap,TrainDay01_TestDay234,flows,0h 0m 14s,0h 0m 2s,0.38719360170155,0.8216655740042073,0.09333931682404684,32,2,2,3
OneClassForestwoBootstrap,TrainDay0123_TestDay4,flows,0h 0m 28s,0h 0m 1s,0.2810995184623933,0.8076357107654452,0.3392777076385111,1,1,1,2
OneClassForestwoBootstrap,TrainDay0_TestBotnet,flows,0h 0m 6s,0h 0m 0s,0.9896553009170977,0.011679757563576868,0.47906474777349234,70,169,201,201
OneClassForestwoBootstrap,TrainDay0_PortScan,flows,0h 0m 6s,0h 0m 0s,0.12041488111562623,0.9773656234652169,0.04176100662621377,1,1,1,2
OneClassForestwoBootstrap,TrainDay012_TestDay34,flows,0h 0m 27s,0h 0m 1s,0.5116094722488888,0.6706436545688852,0.32042589908526703,38,2,2,3
OneClassForestwoBootstrap,TrainDay0_Heartbleed,flows,0h 0m 6s,0h 0m 0s,0.9999154504805816,2.8404249275691642e-05,0.5000284058629701,1592,201,201,201
OneClassForestwoBootstrap,TrainDay0_Web,flows,0h 0m 6s,0h 0m 0s,0.9702373525331122,0.02979173527692974,0.4575039526154113,513,72,93,143
OneClassForestwoBootstrap,TrainDay0_Dos,flows,0h 0m 6s,0h 0m 0s,0.34202264663696075,0.685157360870634,0.3953341521159573,41,3,3,5
Random,TrainDay0123_TestDay4,samples,0h 0m 0s,0h 0m 0s,0.6445061279976756,0.3550444428473905,0.4990895047209109,3,6,7,11
Random,TrainDay0_PortScan,samples,0h 0m 0s,0h 0m 0s,0.41690519342102994,0.5826714123711743,0.4993981878993725,1,3,4,6
Random,TrainDay0_Heartbleed,samples,0h 0m 0s,0h 0m 0s,0.9698250490801369,0.02976085094467611,0.5012679281415582,68,78,101,155
Random,TrainDay0_TestBotnet,samples,0h 0m 0s,0h 0m 0s,0.9934105833830602,0.0061916257393241116,0.5052156625298365,50,201,201,201
Random,TrainDay0_DDos,samples,0h 0m 0s,0h 0m 0s,0.2618066988080794,0.7377467521458654,0.5006697472966415,1,2,3,4
Random,TrainDay01_TestDay234,samples,0h 0m 0s,0h 0m 0s,0.7517800520806441,0.24779732786155328,0.500065149329384,1,9,11,17
Random,TrainDay0_Infiltration,samples,0h 0m 0s,0h 0m 0s,0.7688169983538696,0.2307052124681884,0.4990584377394557,6,9,12,18
Random,TrainDay0_TestDay1234,samples,0h 0m 0s,0h 0m 0s,0.7945542710149198,0.20501117784605666,0.4995301508183571,1,11,14,21
Random,TrainDay0_Dos,samples,0h 0m 0s,0h 0m 0s,0.530159425797834,0.46942481710935224,0.49818372257337706,1,4,5,8
Random,TrainDay0_SSHPatator,samples,0h 0m 0s,0h 0m 0s,0.9142662910459816,0.08528390350935171,0.4992360603697376,32,26,34,52
Random,TrainDay012_TestDay34,samples,0h 0m 0s,0h 0m 0s,0.7578582844252731,0.24170216758116375,0.49973806422319983,1,9,11,17
Random,TrainDay0_Web,samples,0h 0m 0s,0h 0m 0s,0.9559597577841324,0.04371553266897742,0.5088669570413663,55,51,66,101
Random,TrainDay0_FTPPatator,samples,0h 0m 0s,0h 0m 0s,0.942434589746124,0.05711879426705081,0.5022439838899116,1,40,51,79
Random,TrainDay012_TestDay34,flows,0h 0m 0s,0h 0m 0s,0.654902140392496,0.3449695565897346,0.5002449494305092,1,6,8,12
Random,TrainDay01_TestDay234,flows,0h 0m 0s,0h 0m 0s,0.64722604547873,0.35269848518682134,0.5002290393067317,2,6,7,11
Random,TrainDay0123_TestDay4,flows,0h 0m 0s,0h 0m 0s,0.5460185203178602,0.45372924224946487,0.49857413857402727,3,4,5,8
Random,TrainDay0_FTPPatator,flows,0h 0m 0s,0h 0m 0s,0.9734924711472959,0.02912773709448079,0.5068368111563184,801,69,90,138
Random,TrainDay0_Heartbleed,flows,0h 0m 0s,0h 0m 0s,0.9997327982880446,2.8404249275691642e-05,0.505113055334621,8787,201,201,201
Random,TrainDay0_PortScan,flows,0h 0m 0s,0h 0m 0s,0.22037976689114852,0.7808723167713522,0.5011630529817913,1,2,3,4
Random,TrainDay0_TestDay1234,flows,0h 0m 0s,0h 0m 0s,0.7102688867594678,0.28956489522680445,0.49985934279525746,3,7,9,14
Random,TrainDay0_TestBotnet,flows,0h 0m 0s,0h 0m 0s,0.990327908780716,0.009431706532447477,0.5032512525469314,50,201,201,201
Random,TrainDay0_Web,flows,0h 0m 0s,0h 0m 0s,0.9746334102483145,0.02652323990732736,0.5151173795272554,530,77,100,154
Random,TrainDay0_SSHPatator,flows,0h 0m 0s,0h 0m 0s,0.9789026773956823,0.024456985190707946,0.4974849057173443,3066,84,109,167
Random,TrainDay0_Infiltration,flows,0h 0m 0s,0h 0m 0s,0.5850438349343529,0.4169161675438504,0.49910739495843814,1,5,6,10
Random,TrainDay0_DDos,flows,0h 0m 0s,0h 0m 0s,0.31324943895723,0.6970774920873646,0.5016289350460829,5,2,3,4
Random,TrainDay0_Dos,flows,0h 0m 0s,0h 0m 0s,0.4036131269725686,0.5965149260430681,0.49784483568767973,4,3,4,6
LocalOutlierFactor,TrainDay0_PortScan,samples,0h 6m 15s,0h 1m 52s,0.4456952423999138,0.6018832103138827,0.39186052582963216,750,5,6,9
LocalOutlierFactor,TrainDay0_DDos,samples,0h 6m 20s,0h 2m 14s,0.2760963519528402,0.728620651777102,0.5056714844494079,2,2,2,4
LocalOutlierFactor,TrainDay01_TestDay234,samples,0h 22m 0s,0h 40m 53s,0.6640543439099609,0.3652930216748922,0.3219501335828807,30,5,6,10
LocalOutlierFactor,TrainDay0_Infiltration,samples,0h 6m 15s,0h 2m 1s,0.7156720923497527,0.29955997546965485,0.3485424945164002,47,7,9,14
LocalOutlierFactor,TrainDay0_Dos,samples,0h 6m 26s,0h 4m 13s,0.45466912564396506,0.5696308302289689,0.3515904968554161,203,3,4,5
LocalOutlierFactor,TrainDay0_SSHPatator,samples,0h 6m 16s,0h 1m 49s,0.9235485348777915,0.08094608396840919,0.4777867751134798,452,53,69,106
LocalOutlierFactor,TrainDay0123_TestDay4,samples,1h 22m 50s,0h 31m 56s,0.6330542694158451,0.3875284660923305,0.4836427097838437,13,4,5,7
LocalOutlierFactor,TrainDay0_FTPPatator,samples,0h 6m 18s,0h 1m 58s,0.9248807706164517,0.07896284792329918,0.36823183708781126,7,28,37,56
LocalOutlierFactor,TrainDay012_TestDay34,samples,0h 49m 21s,0h 42m 49s,0.7217124731316276,0.2941453442498202,0.42004796775077846,35,5,7,10
LocalOutlierFactor,TrainDay0_TestBotnet,samples,0h 6m 17s,0h 1m 44s,0.9939751449998482,0.006143173117448291,0.476812499638129,16,201,201,201
LocalOutlierFactor,TrainDay0_Heartbleed,samples,0h 6m 18s,0h 0m 16s,0.9760204420918258,0.029685774331853543,0.4537772724461985,7791,201,201,201
